Sr_No,Date,Startup_Name,Industry_Vertical,SubVertical,City_Location,Investors_Name,InvestmentnType,Amount_in_USD,Remarks,Year,Month
1,09-01-2020,Byjus,E-tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,200000000,Unknown,2020,JANUARY
2,13-01-2020,Shuttl,Logistics,App based shuttle service,Gurugram,Susquehanna Growth Equity,Series C,8048394,Unknown,2020,JANUARY
3,09-01-2020,Mamaearth,E-Commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18358860,Unknown,2020,JANUARY
4,02-01-2020,Https://www.wealthbucket.in/,FinTech,Online Investment,Delhi,Vinod Khatumal,Pre-series A,3000000,Unknown,2020,JANUARY
5,02-01-2020,Fashor,Fashion & lifestyle,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000,Unknown,2020,JANUARY
6,13-01-2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000,Unknown,2020,JANUARY
7,10-01-2020,Zomato,Healthcare,Online Food Delivery Platform,Gurugram,Ant Financial,Private Equity Round,150000000,Unknown,2020,JANUARY
8,12-12-2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000,Unknown,2019,DECEMBER
9,06-12-2019,Cardekho,E-Commerce,Automobile,Gurugram,Ping An Global Voyager Fund,Series D,70000000,Unknown,2019,DECEMBER
10,03-12-2019,Dhruva space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000,Unknown,2019,DECEMBER
11,13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurugram,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000,Unknown,2019,DECEMBER
12,17-12-2019,Healthians,Food & beverage,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000,Unknown,2019,DECEMBER
13,16-12-2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000,Unknown,2019,DECEMBER
14,16-12-2019,Incred,FinTech,Non-Banking Financial Company,Mumbai,Unknown,Debt Funding,5900000,Unknown,2019,DECEMBER
15,14-12-2019,Trell,Artificial Intelligence,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2000000,Unknown,2019,DECEMBER
16,11-12-2019,Rein games,Artificial Intelligence,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000,Unknown,2019,DECEMBER
17,20-12-2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000,Unknown,2019,DECEMBER
18,13-11-2019,Freshworks,SaaS,Business and customer engagement tools,San francisco,"Sequoia, CapitalG, Accel",Series H,150000000,Unknown,2019,NOVEMBER
19,14-11-2019,Misters,Healthcare,Men's Health and Wellness brand,Gurugram,"Sauce.vc, Rainforest Ventures",Series B,486000,Unknown,2019,NOVEMBER
20,13-11-2019,Sunstone eduversity pvt. ltd,Ed-Tech,Elearning,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000,Unknown,2019,NOVEMBER
21,17-11-2019,Burger singh,Food & beverage,Indian Burger Brand,Gurugram,RB Investments,VENTURE CAPITAL,6095000,Unknown,2019,NOVEMBER
22,18-11-2019,Healthians,Healthcare,Healthcare services,Gurugram,"DG Daiwa Ventures, DG Incubation",Series B,12000000,Unknown,2019,NOVEMBER
23,15-11-2019,Ninjacart,B2b / professional services,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000,Unknown,2019,NOVEMBER
24,20-11-2019,Aye finance,FinTech,Financial Services To MSMEs,Gurugram,FinTech,Debt Funding,17411265,Unknown,2019,NOVEMBER
25,12-11-2019,Supergaming,Artificial Intelligence,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000,Unknown,2019,NOVEMBER
26,20-11-2019,Clumio,SaaS,Recovery software,San jose,"Altimeter Capital, Sutter Hill Ventures",Series C,135000000,Unknown,2019,NOVEMBER
27,11-11-2019,Ebikego,Logistics,Electric bike rental,Amritsar,Startup Buddy,Seed,300000,Unknown,2019,NOVEMBER
28,19-11-2019,Digital mall asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,220000000,Unknown,2019,NOVEMBER
29,18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000,Unknown,2019,NOVEMBER
30,15-11-2019,Vogo automotive,Logistics,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000,Unknown,2019,NOVEMBER
31,19-11-2019,Furtados school of music,Ed-Tech,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,,200000000,Unknown,2019,NOVEMBER
32,25-11-2019,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000000,Unknown,2019,NOVEMBER
33,04-10-2019,Dunzo,Customer service,Delivery Service,Bengaluru,Lightbox,Series D,45000000,Unknown,2019,OCTOBER
34,02-10-2019,Udaan,B2b / professional services,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,585000000,Unknown,2019,OCTOBER
35,21-10-2019,The man company,Consumer goods,Beauty and Grooming,Gurugram,Ayushmann Khurana,Corporate Round,500000,Unknown,2019,OCTOBER
36,05-09-2019,Fpl technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000,Unknown,2019,SEPTEMBER
37,04-09-2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000,Unknown,2019,SEPTEMBER
38,04-09-2019,Digital f5,Marketing & Advertising,Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000000,Unknown,2019,SEPTEMBER
39,04-09-2019,3rdflix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,5000000,Unknown,2019,SEPTEMBER
40,04-09-2019,75f,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000,Unknown,2019,SEPTEMBER
41,04-09-2019,Myelin foundry,Information technology,Deep-technology,Bengaluru,Endiya Partners,Seed,1000000,Unknown,2019,SEPTEMBER
42,04-09-2019,Atomberg technology,Consumer technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000,Unknown,2019,SEPTEMBER
43,04-09-2019,Goqii,Healthcare,Wearable Fitness Bands,Menlo park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000,Unknown,2019,SEPTEMBER
44,03-09-2019,Vyapar app,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000,Unknown,2019,SEPTEMBER
45,01-08-2019,Cardekho,E-Commerce,Automotive,Gurugram,SC GG India Mobility Holdings LLC,Series C,20000000,Unknown,2019,AUGUST
46,01-08-2019,Progcap,FinTech,Supply Chain Management,Delhi,Sequoia India,Series A,5000000,Unknown,2019,AUGUST
47,01-08-2019,Mypetrolpump,Artificial Intelligence,Fuel Delivery,Bengaluru,Unknown,Seed Funding Round,1600000,Unknown,2019,AUGUST
48,01-08-2019,Alteria capital,FinTech,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000,Unknown,2019,AUGUST
49,01-08-2019,Pine labs,Information technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000,Unknown,2019,AUGUST
50,12-08-2019,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,125000000,Unknown,2019,AUGUST
51,13-08-2019,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,11000000,Unknown,2019,AUGUST
52,13-08-2019,Uniphore,SaaS,Conversational AI,Palo alto,March Capital Partners,Series C,51000000,Unknown,2019,AUGUST
53,23-08-2019,Zendrive,Automotive & mobility,Road Safety Analytics,San francisco,XL Innovate,Series B,37000000,Unknown,2019,AUGUST
54,23-08-2019,Lo! foods,Consumer goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500000,Unknown,2019,AUGUST
55,23-08-2019,Tala,FinTech,Digital Lending Platform,Santa monica,RPS Ventures,Series D,110000000,Unknown,2019,AUGUST
56,22-08-2019,Indwealth,FinTech,Wealth Management,Gurugram,Tiger Global Management,Venture Round,15000000,Unknown,2019,AUGUST
57,21-08-2019,Hungerbox,Food & beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,6590000,Unknown,2019,AUGUST
58,23-08-2019,Admitkard,Ed-Tech,University Admissions,Noida,Growth DNA,Seed Round,1000000,Unknown,2019,AUGUST
59,19-08-2019,Mishry reviews,B2b / professional services,Product Review,Gurugram,Vir Sanghvi,Series A,3400000,Unknown,2019,AUGUST
60,19-08-2019,Grofers,E-Commerce,Grocery Delivery,Gurugram,Softbank Vision Fund,Series F,70000000,Unknown,2019,AUGUST
62,02-07-2019,Renewbuy,FinTech,Auto Insurance,Gurugram,"Lok Capital, IIFL Wealth",Series B,19000000,Unknown,2019,JULY
63,02-07-2019,Atlan,Information technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,2500000,Unknown,2019,JULY
64,01-07-2019,Wizcounsel,Compliance,Consulting,Delhi,Kapil Dev,Angel,145000,Unknown,2019,JULY
65,03-07-2019,Ola cabs,Logistics,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000,Unknown,2019,JULY
66,01-07-2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080000,Unknown,2019,JULY
67,04-07-2019,Daalchini technologies,Food & beverage,Digital Vending Machine,Delhi,Artha Venture,Seed Round,500000,Unknown,2019,JULY
68,10-07-2019,Byjus,Ed-Tech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,150000000,Unknown,2019,JULY
69,11-07-2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000,Unknown,2019,JULY
70,10-07-2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,16000000,Unknown,2019,JULY
71,10-07-2019,Indus os,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750000,Unknown,2019,JULY
72,10-07-2019,Healthassure,Healthcare,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000,Unknown,2019,JULY
73,09-07-2019,House of msasaba,Luxury label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000,Unknown,2019,JULY
74,08-07-2019,Board infinity,Ed-Tech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,319605,Unknown,2019,JULY
75,05-06-2019,Nobroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,51000000,Unknown,2019,JUNE
76,04-06-2019,Bira91,Food & beverage,Brewery,Delhi,Anicut Capital,Debt Funding,10000000,Unknown,2019,JUNE
77,03-06-2019,Fabhotels,E-Commerce,Hospitality,Gurugram,"Goldman Sachs, Accel Partners and Qualcomm",,4889976,Unknown,2019,JUNE
78,03-06-2019,Avail finance,FinTech,FinTech,Bengaluru,Matrix Partners,Series A,9000000,Unknown,2019,JUNE
79,04-06-2019,Bharatpe,FinTech,FinTech,Delhi,Insight Partners,Series B,75000000,Unknown,2019,JUNE
80,04-06-2019,Recykal,Waste management service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000,Unknown,2019,JUNE
81,03-06-2019,Agara labs,Artificial Intelligence,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,2500000,Unknown,2019,JUNE
82,06-06-2019,Sistema.bio,AgriTech,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,2739035,Unknown,2019,JUNE
83,06-06-2019,Chakr innovation,Energy,Renewable Energy,Delhi,IAN Fund,Series A,26000000,Unknown,2019,JUNE
84,06-06-2019,Pratilipi,Artificial Intelligence,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500,Unknown,2019,JUNE
85,10-06-2019,Bolo app,Artificial Intelligence,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,430200,Unknown,2019,JUNE
86,10-06-2019,Okcredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500000,Unknown,2019,JUNE
87,06-06-2019,Biz2credit,FinTech,Online Lending Platform,New york,WestBridge Capital,Series B,52000000,Unknown,2019,JUNE
88,08-06-2019,Vogo automotive pvt. ltd.,Logistics,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3584000,Unknown,2019,JUNE
89,04-06-2019,Leegality,B2b / professional services,Digital Documentation,Bengaluru,Mumbai Angels,Series A,3400000,Unknown,2019,JUNE
90,06-05-2019,Ola electric,Logistics,Cabs,Bengaluru,Tata Sons,Series A,75500000,Unknown,2019,MAY
91,06-05-2019,Saahas zero waste,Waste management service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,868600,Unknown,2019,MAY
92,05-05-2019,Styledotme,E-Commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,7250000,Unknown,2019,MAY
93,01-05-2019,Blackbuck,Logistics,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000,Unknown,2019,MAY
94,02-05-2019,Zenoti,SaaS,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000,Unknown,2019,MAY
95,28-05-2019,Ather energy,Automotive & mobility,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,51000000,Unknown,2019,MAY
96,28-05-2019,Freshvnf,AgriTech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,140000000,Unknown,2019,MAY
97,30-05-2019,Glowroad,E-Commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11500000,Unknown,2019,MAY
98,31-05-2019,Bira91,Food & beverage,Brewery,Delhi,Sixth Sense Ventures,Series B,5600000,Unknown,2019,MAY
99,16-04-2019,Kuvera,FinTech,Wealth Management,Bengaluru,Eight Roads,Series A,45000000,Unknown,2019,APRIL
100,12-04-2019,Medlife,E-Commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000,Unknown,2019,APRIL
101,10-04-2019,Kabadiwala,E-Commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665,Unknown,2019,APRIL
102,13-04-2019,Tripoto,Artificial Intelligence,Travel,Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375,Unknown,2019,APRIL
103,12-04-2019,Azah,Healthcare,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,200000,Unknown,2019,APRIL
104,11-04-2019,Setu,FinTech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,3500000,Unknown,2019,APRIL
105,10-04-2019,Toppr,Ed-Tech,E-learning,Mumbai,Milestone,Debt and Preference capital,6320820,Unknown,2019,APRIL
106,10-04-2019,Craftsvilla,E-Commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495,Unknown,2019,APRIL
107,10-04-2019,Unacademy,Ed-Tech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,307000,Unknown,2019,APRIL
108,11-04-2019,Clevertap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000,Unknown,2019,APRIL
109,19-04-2019,My healthcare,E-Commerce,Software Solutions,Bengaluru,Sixth Sense Ventures,Series A,3000000,Unknown,2019,APRIL
110,19-04-2019,Krazybee,E-Commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,14342000,Unknown,2019,APRIL
111,17-04-2019,Shuttl,Logistics,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,5000000,Unknown,2019,APRIL
112,17-04-2019,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,3000000,Unknown,2019,APRIL
113,01-02-2019,Fleetx,Artificial Intelligence,Logistics,Gurugram,India Quotient and LetsVentures Angel Fund,Pre Series A,1800000,Unknown,2019,FEBRUARY
114,08-02-2019,Zilingo,E-Commerce,Fashion & Apparel,India,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000,Unknown,2019,FEBRUARY
115,13-02-2019,Nanoclean global,IoT,Anti-Pollution,Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000,Unknown,2019,FEBRUARY
116,14-02-2018,Oyorooms,Healthcare,Budget Rooms,Gurugram,DiDi Chuxing,Equity,100000000,Unknown,2018,FEBRUARY
117,03-01-2019,Cardekho,Automotive & mobility,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000,Unknown,2019,JANUARY
118,04-01-2019,Vyome therapeutics inc.,Healthcare,Specialty pharmaceutical,India,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000,Unknown,2019,JANUARY
119,04-01-2019,Samunnati financial intermediation & services pvt. ltd,FinTech,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,5000000,Unknown,2019,JANUARY
120,04-12-2018,Manch,Artificial Intelligence,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,700000,Unknown,2018,DECEMBER
121,01-12-2018,Urbanclap technologies pvt. ltd,SaaS,Home services marketplace,Delhi,Steadview Capital and Vy Capital.,Series D,50000000,Unknown,2018,DECEMBER
122,02-12-2018,Guiddoo,Travel & Tourism,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,800000,Unknown,2018,DECEMBER
123,02-12-2018,Career anna,Ed-Tech,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,572000,Unknown,2018,DECEMBER
124,04-12-2018,Nagpur wholesale,E-Commerce,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000,Unknown,2018,DECEMBER
125,06-12-2018,Shopkirana,B2b / professional services,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000,Unknown,2018,DECEMBER
126,06-12-2018,Buildsupply,E-Commerce,"Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000,Unknown,2018,DECEMBER
127,01-11-2018,Godesi,Food & beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,138995,Unknown,2018,NOVEMBER
128,03-11-2018,Veritas finance ltd.,Nbfc / microfinance,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000,Unknown,2018,NOVEMBER
129,06-11-2018,Meesho,E-Commerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000,Unknown,2018,NOVEMBER
130,08-11-2018,Mobile premier league,Artificial Intelligence,Mobile e-Sports,Bengaluru,Undisclosed,Series A,500000,Unknown,2018,NOVEMBER
131,08-11-2018,A&r bon vivants,Food & beverage,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,1000000,Unknown,2018,NOVEMBER
132,12-11-2018,Blackbuck,Food & beverage,POS For Online Ordering,Bengaluru,Tiger Global,Series A,1000000,Unknown,2018,NOVEMBER
133,12-11-2018,Milkbasket,Food & beverage,Micro-delivery grocery service,Delhi,Mayfield Fund,Series B,1300000,Unknown,2018,NOVEMBER
134,13-11-2018,Driveu,Logistics,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,1000000,Unknown,2018,NOVEMBER
135,14-11-2018,Cleansecar,B2b / professional services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,500000,Unknown,2018,NOVEMBER
136,19-11-2018,Automation anywhere,Automotive & mobility,Robotics,California,SoftBank Vision Fund,Series B,300000000,Unknown,2018,NOVEMBER
137,20-11-2018,Healthifyme,Healthcare,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),6000000,Unknown,2018,NOVEMBER
138,21-11-2018,Genius corner,Ed-Tech,Personalized Learning,Noida,Individual investors,Seed Funding,278000,Unknown,2018,NOVEMBER
139,22-11-2018,Aavishkaar-intellecap group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000000,Unknown,2018,NOVEMBER
140,22-11-2018,Skillbox,Social / community,Art,Gurugram,Individual investors,Seed Funding,1800000,Unknown,2018,NOVEMBER
141,23-11-2018,Signzy,FinTech,Digital Onboarding Solution,Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000,Unknown,2018,NOVEMBER
142,24-11-2018,Engineer.ai,SaaS,AI Platform,India,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000,Unknown,2018,NOVEMBER
143,25-11-2018,Incred finance,FinTech,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,42000000,Unknown,2018,NOVEMBER
144,25-11-2018,Roposo,Artificial Intelligence,Video Sharing,Delhi,Bertelsmann India Investments,Series B,1700000,Unknown,2018,NOVEMBER
145,01-10-2018,Northmist,Fashion & lifestyle,Mens Wear,Delhi,Prashant Jaiswal,Seed/ Angel Funding,15000000,Unknown,2018,OCTOBER
146,02-10-2018,Origo commodities india pvt. ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,11000000,Unknown,2018,OCTOBER
147,04-10-2018,Grover zampa,Food & beverage,Wine,Mumbai,Ravi Viswanathan,Private Equity,8200000,Unknown,2018,OCTOBER
148,05-10-2018,Droom,Automotive & mobility,New and Used Cars Platform,Gurugram,ZigExN,Series E,3000000,Unknown,2018,OCTOBER
149,11-10-2018,Innov8,Real Estate,Co-Working,Delhi,Credence Family Office,Pre-Series A,4000000,Unknown,2018,OCTOBER
150,12-10-2018,Blackbuck,Logistics,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,14680000,Unknown,2018,OCTOBER
151,12-10-2018,Letstransport,Logistics,Book Trucks Online,Bengaluru,Fosun International,Series C,12000000,Unknown,2018,OCTOBER
152,01-09-2018,Netmeds,Consumer internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000,Unknown,2018,SEPTEMBER
153,03-09-2018,Udaan,SaaS,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000,Unknown,2018,SEPTEMBER
154,03-09-2018,Daily hunt,Consumer internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,6390000,Unknown,2018,SEPTEMBER
155,04-09-2018,3hcare,Healthcare,Healthcare Service Provider,Delhi,Unknown,Seed / Angel Funding,1000000,Unknown,2018,SEPTEMBER
156,04-09-2018,Happygoeasy,Consumer internet,Online Travel Agecy,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,5000000,Unknown,2018,SEPTEMBER
157,05-09-2018,Nykaa,Consumer internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,157200000,Unknown,2018,SEPTEMBER
158,05-09-2018,Mad street den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI\\xc2\\xa0,Private Equity,3800000,Unknown,2018,SEPTEMBER
159,06-09-2018,Dream11,Consumer internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000,Unknown,2018,SEPTEMBER
160,10-09-2018,Mamaearth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,4000000,Unknown,2018,SEPTEMBER
161,11-09-2018,Autogrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, stead, and Tenaska",Private Equity,32000000,Unknown,2018,SEPTEMBER
162,11-09-2018,Pharmeasy,Consumer internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,5500000,Unknown,2018,SEPTEMBER
163,11-09-2018,Upwards,FinTech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000,Unknown,2018,SEPTEMBER
164,12-09-2018,Kissht,FinTech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000,Unknown,2018,SEPTEMBER
165,01-08-2018,Dishq,Food & beverage,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,400000,Unknown,2018,AUGUST
166,01-08-2018,Healthfin,FinTech,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,5620000,Unknown,2018,AUGUST
167,02-08-2018,Samosa labs,Consumer internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000,Unknown,2018,AUGUST
168,03-08-2018,Ziffyhomes,Consumer internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,120000,Unknown,2018,AUGUST
169,07-08-2018,My omnamo,Consumer internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,Unknown,Seed/ Angel Funding,1000000,Unknown,2018,AUGUST
170,07-08-2018,Shopx,Consumer internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,35000000,Unknown,2018,AUGUST
171,07-08-2018,Makemytrip,Consumer internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,10000000,Unknown,2018,AUGUST
172,08-08-2018,Hansel io,Consumer internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed/ Angel Funding,4000000,Unknown,2018,AUGUST
173,08-08-2018,Metro bikes,Consumer internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000,Unknown,2018,AUGUST
174,08-08-2018,Phone pe,Consumer internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,66000000,Unknown,2018,AUGUST
175,09-08-2018,Quizizz,Ed-Tech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,3000000,Unknown,2018,AUGUST
176,09-08-2018,Happy emi,FinTech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,1000000,Unknown,2018,AUGUST
